title,url,id
Open Access Journal: Résumés d'archéologie suisse: époque romaine,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-resumes.html,"tag:blogger.com,1999:blog-116259103207720939.post-5464757210282307460"
Mathematics and Mathematical Astronomy,http://ancientworldonline.blogspot.com/2014/01/mathematics-and-mathematical-astronomy.html,"tag:blogger.com,1999:blog-116259103207720939.post-2179302832803591987"
A New Open Access Publisher: Edition Topoi,http://ancientworldonline.blogspot.com/2014/01/a-new-open-access-publisher-edition.html,"tag:blogger.com,1999:blog-116259103207720939.post-4550966537270997713"
Partially Open Access Journal: Materiale şi Cercetări Arheologice,http://ancientworldonline.blogspot.com/2012/01/partially-open-access-journal-materiale.html,"tag:blogger.com,1999:blog-116259103207720939.post-704103970911126943"
Open Access Journal: LANX. Rivista della Scuola di Specializzazione in Archeologia,http://ancientworldonline.blogspot.com/2010/01/open-acces-journbal-lanx.html,"tag:blogger.com,1999:blog-116259103207720939.post-3740961503201129598"
Open Access Journal: Bible Lands E-Review (BLER),http://ancientworldonline.blogspot.com/2012/05/new-open-access-journal-bible-lands-e.html,"tag:blogger.com,1999:blog-116259103207720939.post-3405899361148781709"
CAMENA - Lateinische Texte der Frühen Neuzeit,http://ancientworldonline.blogspot.com/2014/01/camena-lateinische-texte-der-fruhen.html,"tag:blogger.com,1999:blog-116259103207720939.post-1735995788461503708"
Open Access Journal: The Ancient Near East Today,http://ancientworldonline.blogspot.com/2013/04/new-open-access-journal-ancient-near.html,"tag:blogger.com,1999:blog-116259103207720939.post-8915306131771900526"
Poeti d'Italia in lingua latina tra medioevo e rinascimento,http://ancientworldonline.blogspot.com/2014/01/poeti-ditalia-in-lingua-latina-tra.html,"tag:blogger.com,1999:blog-116259103207720939.post-5343622234859433932"
Open Access Journal: Online Archaeology (National Agency for Cultural Heritage Preservation of Georgia),http://ancientworldonline.blogspot.com/2014/01/open-access-journal-online-archaeology.html,"tag:blogger.com,1999:blog-116259103207720939.post-3049974188500661631"
CSAI: Corpus of South Arabian Inscriptions,http://ancientworldonline.blogspot.com/2010/10/open-access-corpus-of-south-arabian.html,"tag:blogger.com,1999:blog-116259103207720939.post-915482671060200854"
Just Announced: Getty Publications Virtual Library,http://ancientworldonline.blogspot.com/2014/01/just-announced-getty-publications.html,"tag:blogger.com,1999:blog-116259103207720939.post-1697581904695761075"
Big list backup,,"tag:blogger.com,1999:blog-116259103207720939.post-2559271063835628732"
New Open Access Journal: Antesteria. Debates de Historia Antigua,http://ancientworldonline.blogspot.com/2014/01/new-open-access-journal-antesteria.html,"tag:blogger.com,1999:blog-116259103207720939.post-204988945209195387"
Open Access Books from the Library of the Maison de l’Orient et de la Méditerranée - Lyon,http://ancientworldonline.blogspot.com/2009/07/open-access-books-from-bibliotheque.html,"tag:blogger.com,1999:blog-116259103207720939.post-8290828931968306121"
Consortium of Hellenic Studies Librarians,http://ancientworldonline.blogspot.com/2012/08/consortium-of-hellenic-studies.html,"tag:blogger.com,1999:blog-116259103207720939.post-4344060075983673501"
Open Access Journal: SAGVNTVM Extra. Papeles del Laboratorio de Arqueología de Valencia - Extra,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-sagvntvm-papeles.html,"tag:blogger.com,1999:blog-116259103207720939.post-6520074801902136306"
Open Access Journal: SAGVNTVM. Papeles del Laboratorio de Arqueología de Valencia,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-sagvntvm-papeles_10.html,"tag:blogger.com,1999:blog-116259103207720939.post-6540777071243966139"
Newly Open Access Journal: Studia Oliveriana,http://ancientworldonline.blogspot.com/2014/01/newly-open-access-journal-studia.html,"tag:blogger.com,1999:blog-116259103207720939.post-144996326612122831"
Aegaeum Online,http://ancientworldonline.blogspot.com/2009/12/aegaeum-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-3040627021308022251"
Open Access Collection: Tyndale Press Monographs,http://ancientworldonline.blogspot.com/2009/11/open-access-collection-tyndale-press.html,"tag:blogger.com,1999:blog-116259103207720939.post-7055904373224644464"
Biblical Studies Online,http://ancientworldonline.blogspot.com/2014/01/biblical-studies-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-6565990327436124312"
Open Access Journal: The Silk Road,http://ancientworldonline.blogspot.com/2009/12/open-access-journal-silk-road.html,"tag:blogger.com,1999:blog-116259103207720939.post-2417975283812750345"
Open Access Journal: Classics@,http://ancientworldonline.blogspot.com/2011/08/open-access-journal-classics.html,"tag:blogger.com,1999:blog-116259103207720939.post-2017436921866171983"
Oxford Expedition To Egypt: Scene-details Database,http://ancientworldonline.blogspot.com/2010/11/oxford-expedition-to-egypt-scene.html,"tag:blogger.com,1999:blog-116259103207720939.post-4433965782378490731"
Theoi Greek Mythology: Eploring Mythology in Classical Literature & Art,http://ancientworldonline.blogspot.com/2014/01/theoi-greek-mythology-eploring.html,"tag:blogger.com,1999:blog-116259103207720939.post-5651356934693647674"
Online Informationsblatt der deutschsprachigen Ägyptologie,http://ancientworldonline.blogspot.com/2010/11/newly-online-informationsblatt-der.html,"tag:blogger.com,1999:blog-116259103207720939.post-1425758639906087169"
Open Access Journal: Theologica Xaveriana,http://ancientworldonline.blogspot.com/2014/01/open-access-journal-theologica-xaveriana.html,"tag:blogger.com,1999:blog-116259103207720939.post-8849127904874391078"
Roundup of Resources on Ancient Geography,http://ancientworldonline.blogspot.com/2012/09/roundup-of-resources-on-ancient.html,"tag:blogger.com,1999:blog-116259103207720939.post-2598610213512391524"
Online: University of Pennsylvania Museum of Archaeology and Anthropology publications with digital supplementary material,http://ancientworldonline.blogspot.com/2014/01/online-university-of-pennsylvania.html,"tag:blogger.com,1999:blog-116259103207720939.post-1714454438836337924"
ePSD: The Pennsylvania Sumerian Dictionary,http://ancientworldonline.blogspot.com/2014/01/epsd-pennsylvania-sumerian-dictionary.html,"tag:blogger.com,1999:blog-116259103207720939.post-8479299857201825874"
Open Access Journal: Oriental Institute Annual Report,http://ancientworldonline.blogspot.com/2012/06/open-access-journal-oriental-institute.html,"tag:blogger.com,1999:blog-116259103207720939.post-3730738990314003502"
Open Access Publications of the Center for Hellenic Studies,http://ancientworldonline.blogspot.com/2010/09/open-access-publications-of-center-for.html,"tag:blogger.com,1999:blog-116259103207720939.post-7662005039347610859"
"Nautical Archaeology Program, Texas A and M University: Alumni Theses and Dissertations Online",http://ancientworldonline.blogspot.com/2009/10/institute-of-nautical-archaeology-texas.html,"tag:blogger.com,1999:blog-116259103207720939.post-5704706954201444757"
Open Access Journal: Studia graeco-arabica,http://ancientworldonline.blogspot.com/2011/04/new-open-access-journal-studia-graeco.html,"tag:blogger.com,1999:blog-116259103207720939.post-819832869923324809"
Online Arabic and Latin Glossary,http://ancientworldonline.blogspot.com/2014/01/online-arabic-and-latin-glossary.html,"tag:blogger.com,1999:blog-116259103207720939.post-6886285651197536730"
Open Access Journal: Archeomatica,http://ancientworldonline.blogspot.com/2010/01/new-open-access-journal-archeomatica.html,"tag:blogger.com,1999:blog-116259103207720939.post-1394528119494159540"
Tübinger Atlas des Vorderen Orients (TAVO) Placenames in Pleiades,http://ancientworldonline.blogspot.com/2014/01/tubinger-atlas-des-vorderen-orients.html,"tag:blogger.com,1999:blog-116259103207720939.post-7989637793658217298"
Non-Professional Archaeological Photographs-project,http://ancientworldonline.blogspot.com/2014/01/non-professional-archaeological.html,"tag:blogger.com,1999:blog-116259103207720939.post-4164180518743714578"
Open Access Journal: NGSBA Archaeology (The Nelson Glueck School of Biblical Archaeology),http://ancientworldonline.blogspot.com/2013/10/new-open-access-journal-ngsba.html,"tag:blogger.com,1999:blog-116259103207720939.post-7914120360830977837"
Open Access Journal: Newsletter of the American Philological Association,http://ancientworldonline.blogspot.com/2009/08/open-access-journals-newsletter-of.html,"tag:blogger.com,1999:blog-116259103207720939.post-6579386830284068459"
Open Access Journal: Les Mélanges de l’École française de Rome – Antiquité (MEFRA) [current],http://ancientworldonline.blogspot.com/2012/12/newly-open-access-journal-les-melanges.html,"tag:blogger.com,1999:blog-116259103207720939.post-3267924207388048367"
Open Access Journal: Epistula: Roman Society e-News,http://ancientworldonline.blogspot.com/2012/07/open-access-journal-epistula.html,"tag:blogger.com,1999:blog-116259103207720939.post-101709399280081635"
Le palmier dattier: Origine et culture en Égypte et au Moyen-Orient -- The Date Palm : Origin and Cultivation in the Middle East and in Egypt,http://ancientworldonline.blogspot.com/2014/01/le-palmier-dattier-origine-et-culture.html,"tag:blogger.com,1999:blog-116259103207720939.post-8566935052145837920"
Online Exhibition: A Truthful Record: The Byzantine Institute Films,http://ancientworldonline.blogspot.com/2014/01/online-exhibition-truthful-record.html,"tag:blogger.com,1999:blog-116259103207720939.post-8188062821183502425"
